food_item,energy_kcal,carbs,protein_g,fat_g,free_sugar_g,fibre_g,cholesterol_mg,calcium_mg,nutrition_density,health_risk_score,is_spice_condiment
Avial,124.56,8.47,2.46,8.94,3.83,5.44,0.0,31.9,21.71907917957385,16.71081256087887,False
Al yakhani,147.54,4.65,2.86,13.14,3.56,1.27,4.74,103.88,17.34415976767932,20.670432341572756,False
Shahi paneer,156.5,6.64,5.06,12.34,5.01,1.4,23.7,125.38,20.875955587092193,22.14512157317099,False
Paneer in butter sauce,145.61,9.7,6.99,8.81,7.49,1.5,9.9,170.59,24.74719502870042,21.2506954476371,False
Methi malai paneer,194.98,8.15,7.34,14.76,6.0,1.47,7.11,183.96,25.563562691295182,22.751687055285146,False
Chilli paneer,777.51,3.31,2.1,84.01,1.5,0.5,0.34,42.9,11.716486649778727,57.687809682985446,False
Paneer makhana korma,775.82,4.63,3.24,82.76,1.84,0.21,1.58,72.89,13.592375852002315,57.29583532044828,False
Kadhai Paneer,107.99,7.34,4.33,6.81,5.54,2.07,0.0,91.53,20.19543036282484,18.113806582280567,False
Roghan josh,139.59,4.93,9.56,9.02,2.66,2.08,1.4,112.33,27.92384759238803,14.956603459734353,False
Spinach mutton (Palak mutton),80.32,3.45,5.74,4.71,1.42,2.23,0.68,96.88,22.96312282874788,12.43477687818293,False
Pea keema curry (Matar keema ki sabzi),133.0,6.24,8.43,8.14,1.82,2.96,22.87,35.6,25.71116009269979,15.092222917285206,False
Keema kofta curry,154.45,5.64,9.77,10.39,2.14,1.51,57.79,49.89,25.288719372502065,19.010747481628574,False
Kashmiri mutton koftas (Gushtaba),97.42,3.04,6.33,6.77,2.13,0.62,25.31,52.53,19.576959467826875,16.28386128266117,False
Mutton yakhni,104.13,0.84,8.27,7.7,0.13,0.67,0.0,88.61,23.52249019844895,12.559428238189891,False
Chicken yakhni,99.0,0.78,10.66,6.1,0.12,0.62,29.29,28.24,24.769607732165106,12.779681334128473,False
Mutton do piaza,183.3,4.14,9.39,14.41,2.9,1.93,77.86,118.61,27.25176633076106,22.918284528876615,False
Mutton chops,663.64,1.48,4.03,71.31,0.42,0.17,13.32,36.18,13.909399900217677,49.99716867205358,False
Shammi kebab,685.69,3.54,4.52,72.61,0.31,1.05,24.6,13.11,15.278388126233994,50.89992962917967,False
Scotch egg,676.89,1.91,4.05,72.62,0.3,0.36,48.59,15.03,13.509750659423965,52.73108291087384,False
Shepherd's pie (with minced meat),142.78,8.06,7.45,8.88,1.7,1.05,33.31,21.3,20.80093425601128,17.468340584848885,False
Chicken curry,129.22,3.38,11.79,7.57,1.79,1.41,31.25,27.29,27.304049143155474,14.744580179068844,False
Tandoori chicken,145.2,2.34,16.26,7.93,1.58,0.5,44.25,44.33,32.12873722419275,14.515346616425104,False
Butter chicken,137.0,3.74,10.92,8.7,2.37,1.32,39.26,25.28,25.84146169929426,16.72670585811825,False
Chicken kebab,729.41,1.11,3.71,78.89,0.24,0.21,9.94,3.46,12.438831456832203,53.80916336858423,False
Chilli chicken,198.83,2.86,9.57,16.56,0.93,0.99,23.87,12.97,23.16511299791094,19.256071048477448,False
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61,1.16,1.13,31.09,16.09,26.175576981572295,14.349585797215322,False
Fish curry (Machli curry),111.13,3.77,8.76,6.69,2.02,1.89,19.22,52.06,24.882456532466627,14.466806613098836,False
Fried fish (Indian style) (Tali hui machli),658.54,5.4,4.35,68.88,0.4,0.61,6.57,11.11,14.401102531738495,48.25823833006811,False
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,2.77,3.36,69.69,0.17,0.29,12.51,6.56,12.433711178058111,49.10514620850849,False
Tomato fish,489.79,3.18,2.39,51.91,1.35,0.72,5.17,6.46,12.222247570186289,40.150214567309305,False
Baked fish with cheese sauce,113.96,4.06,8.64,7.02,3.22,0.08,21.37,115.64,23.434019518530825,16.82970472106372,False
Fish tikka,117.33,3.91,16.0,4.15,1.18,1.18,32.73,31.98,32.72344686247657,11.271334526724228,False
Tandoori fish,95.98,2.37,11.19,4.64,1.6,0.58,23.41,37.27,25.553077971478324,12.992702961570547,False
"Paneer, apple and pineapple salad",95.08,8.35,3.88,5.07,6.36,1.65,6.52,103.05,19.180177195985486,18.769653433740174,False
Russian salad,114.83,6.5,4.26,7.84,1.66,2.57,64.49,34.92,19.48151851675209,18.902425097449303,False
Pasta salad,190.36,12.7,4.15,13.92,2.6,0.96,12.7,66.74,17.4757052609332,21.165135795515937,False
Deviled egg,98.56,2.23,4.97,7.72,0.82,1.15,118.13,36.84,18.061300491374848,21.515037992755392,False
Hawain salad,175.23,14.35,4.27,11.37,5.24,3.93,4.24,61.03,22.19696379895947,20.262666715792655,False
Mixed pulse and vegetable salad,83.12,13.96,4.74,0.84,1.36,2.96,0.0,51.63,21.622742883398242,11.103629044290159,False
Sprouted moong salad ,37.81,5.48,2.29,0.74,2.13,0.95,1.62,54.56,15.104132128954799,12.851895786247894,False
Tossed salad,62.96,4.95,1.02,4.22,1.56,2.15,0.0,32.37,14.759994248128361,13.89500065750612,False
Mixed vegetable salad with curd sauce,60.28,7.03,4.23,1.5,2.16,3.79,4.09,65.51,22.640332146317945,11.582019194063083,False
Potato salad (Aloo ka salaad),89.91,11.19,1.4,4.4,3.94,1.32,0.0,25.61,13.411098629286753,16.985891173911703,False
Waldroff salad,141.75,11.02,1.47,10.05,8.23,1.87,9.87,29.29,13.893738729401885,24.284900499427362,False
Coleslaw,76.71,5.59,1.24,5.32,3.62,2.34,6.42,37.0,15.231074909660165,16.663715597461103,False
Fruit salad (Phalon ka salaad),78.14,15.96,0.91,1.22,9.78,1.58,2.71,25.93,12.650694726060117,21.15573361595724,False
Tomato onion raita (Tamatar aur pyaaz ka raita),59.0,7.08,3.74,1.84,5.98,0.97,6.19,120.62,18.50930213957226,16.886882287650522,False
Peanut raita (Mungfali ka raita),150.39,9.3,8.59,8.98,7.11,1.89,8.97,174.6,27.64868661941368,20.1747949004802,False
Sprouted moong raita ,60.89,6.13,4.62,2.19,5.59,0.16,7.21,139.44,18.9005222478908,16.81691610754114,False
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,5.76,3.98,2.07,5.25,0.85,7.21,138.26,19.21137131351174,16.27215688214072,False
Cucumber raita (Kheere ka raita),59.13,6.35,4.04,2.08,5.22,0.86,7.21,138.58,19.317099552267717,16.28254797560445,False
Carrot and spinach raita (Gajar aur palak ka raita),56.83,5.83,4.0,1.99,4.93,1.39,6.19,142.57,20.296824558212137,15.621315623625705,False
Mint raita (Pudinay ka raita),77.59,7.65,5.64,2.96,7.48,0.34,10.51,198.22,22.015057375516996,18.874104703184393,False
Potato raita (Aloo ka raita),75.38,10.24,4.22,2.04,5.08,0.75,6.98,132.31,19.193305315557147,16.47570539116906,False
Boondi raita,687.72,3.96,2.19,73.83,1.88,0.46,2.51,49.0,12.1585435547379,52.642316503492125,False
Sweet raita (Meetha raita),99.24,17.93,3.24,1.78,15.36,1.02,5.73,108.91,16.57450458227501,26.414996152942358,False
Dahi vadas/Dahi bhalla,667.73,5.49,2.96,70.4,1.78,0.97,2.39,49.03,14.107591388108585,50.351136004277265,False
Gunjia,667.34,5.68,2.98,70.28,2.05,1.13,2.36,48.16,14.347908821589732,50.45492856756053,False
Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,31.31,0.93,0.0,54.74,10.245939348848546,41.83932234406679,False
Rice kheer (Chawal ki kheer),75.03,10.05,2.3,2.97,8.02,0.17,0.0,75.57,13.74739512921369,20.0794729292694,False
Makhana kheer,107.85,12.88,3.31,5.0,11.54,0.11,1.77,111.64,15.5851888090487,24.43797010041802,False
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5.0,12.79,0.5,2.12,104.8,15.943135551398651,25.65308155310031,False
Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.2,12.88,0.51,0.0,105.99,16.116337622086423,25.136702810505543,False
Paneer kheer,105.31,10.03,4.53,5.37,9.87,0.07,0.0,144.66,18.26022014585526,22.415359603581898,False
Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.8,9.28,0.51,0.0,102.74,15.696139497951432,21.295608155436092,False
Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85,9.63,0.73,0.0,100.12,15.86648832896245,21.583855951956345,False
Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95,8.49,0.55,0.0,101.75,16.0388398660156,20.507836751763097,False
Moong dal kheer,77.16,9.89,2.95,2.97,7.92,0.4,0.0,75.66,14.994291867050213,19.659497194980347,False
Phirni,116.12,16.11,3.49,4.34,10.79,0.36,0.0,104.57,16.121779147788764,23.40816068389863,False
Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38,13.98,1.86,30.82,11.77,13.47948933056542,33.55567312246487,False
Shahi suji halwa,382.34,44.44,3.48,21.73,27.21,2.96,50.05,18.64,15.508785641436706,52.03865617952529,False
Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73,16.85,2.65,14.66,106.94,18.660953935320375,31.924877501657043,False
Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,37.85,0.49,204.93,35.77,16.290016272767424,66.12869949172202,False
Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,17.42,1.64,6.23,14.15,12.3062899840119,30.44432477081501,False
Pumpkin halwa (Kaddu ka halwa),190.27,27.6,1.33,8.81,26.64,2.97,9.52,24.34,13.429664430952434,41.10671053300976,False
Moong dal halwa,349.8,40.23,8.35,17.68,25.59,2.65,34.81,110.4,24.381927158680135,45.7035991827627,False
Caramel custard (steamed),121.58,15.02,4.97,4.87,14.98,0.0,78.88,88.12,16.30103771825211,32.017931335460894,False
Baked custard,106.53,9.45,5.41,5.3,9.42,0.0,85.92,95.32,17.659717224587972,27.052519907904227,False
Soft Custard (stirred),109.18,11.19,5.01,5.07,11.15,0.0,73.35,95.82,17.00481835073638,27.976996180677247,False
Chocolate ice cream,177.7,15.41,4.47,11.25,15.33,0.0,68.26,84.24,15.362914879460465,35.32256739390341,False
Mango ice cream,125.69,11.14,3.4,7.62,11.01,0.52,55.21,67.17,14.924777974476742,28.346916088345655,False
Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,14.03,0.33,17.12,93.35,16.352437481535134,30.389207495661502,False
Caramel ice cream,173.52,14.81,4.31,11.15,14.52,0.08,54.79,87.32,15.505187931002734,33.64399993814721,False
Lemon souffle,168.51,13.43,6.95,10.02,11.67,0.0,100.42,59.81,18.232582062472247,32.38901976280226,False
Orange souffle,168.28,14.2,6.8,9.73,12.31,0.22,97.54,59.04,18.324298608430098,32.633338460918026,False
Vanilla souffle,187.85,14.78,7.71,11.19,12.86,0.0,109.43,70.6,19.356710542432065,34.56004711670554,False
Chocolate souffle,189.32,14.74,7.88,11.36,12.69,0.0,108.18,71.55,19.625037307364916,34.35120427588581,False
Pineapple souffle ,196.14,15.52,8.06,11.72,13.45,0.0,117.82,67.23,19.615188661354008,35.84553643643043,False
Apple mousse,106.92,12.77,4.21,4.27,10.56,1.6,57.67,33.76,16.92441042635939,25.64967320530663,False
Rich chocolate mousse,188.26,10.84,7.96,12.19,10.3,0.0,111.71,54.59,19.463661303340377,32.634833845200845,False
Mango mousse,124.98,9.14,3.21,8.47,8.89,0.88,23.66,51.38,15.113004988663755,24.627873244482664,False
Orange and pineapple cream,101.18,11.96,1.44,5.43,11.37,1.03,15.43,35.0,12.396100168287813,25.418015355555777,False
Charlotte rousse,188.29,34.08,3.95,4.78,20.48,1.01,47.04,34.95,14.55204302398186,36.37905319612073,False
Triffle pudding,116.97,18.24,2.93,3.93,13.89,0.12,36.95,48.72,12.931772572744947,28.74622996404474,False
Snow flakes pudding,95.21,8.07,4.67,4.97,8.01,0.03,57.55,101.33,17.15914985432607,23.919709622643477,False
Kulfi,98.43,11.3,3.21,4.7,10.39,0.12,0.0,111.86,15.616258314888801,23.00624174920888,False
Steamed orange pudding,278.03,41.53,2.34,12.04,26.53,0.58,31.86,21.15,10.522552833231599,46.28344781102609,False
Meringue and rice pudding,112.93,14.6,4.84,4.05,10.87,0.17,40.85,85.43,16.90225582696528,25.41223281603931,False
Cheese pudding,285.01,19.27,11.29,18.37,18.63,0.05,99.76,226.11,27.88345152720826,42.368880867823634,False
Chocolate pudding,211.96,29.59,3.55,9.48,20.68,0.53,46.25,64.56,13.967398832174025,39.059063768103975,False
Bread and butter pudding ,167.94,19.63,5.59,7.88,11.84,0.98,55.29,105.54,19.559355231303062,29.029908112865247,False
Queen of pudding,132.92,16.35,5.51,5.38,11.77,0.27,60.59,78.26,17.54656477294066,28.04471259855528,False
Pineapple upside down pudding,257.73,35.73,3.15,11.91,22.16,0.8,62.13,26.05,12.485590960393857,43.27540157592458,False
Date and nut pie,322.42,46.86,3.93,13.31,31.18,4.13,18.85,34.69,18.382332377289952,48.68202144130029,False
Stewed apple with custard,92.87,18.36,1.27,1.82,15.46,1.01,0.0,49.24,12.241534361782751,26.814168916519574,False
Apple snowballs,101.51,24.58,0.86,0.31,19.4,1.25,0.0,9.43,10.546504122615929,30.10262984069322,False
Hot orange souffle,179.97,18.77,6.87,8.95,14.93,0.29,160.48,53.81,17.925441491848318,38.864074233830806,False
Hot chocolate souffle,226.09,26.21,6.7,11.1,22.88,0.12,138.51,60.19,16.753971192471415,46.62448309615944,False
Hot vanilla souffle,192.93,21.77,6.87,9.07,18.17,0.13,153.55,63.2,17.599169546950137,41.780636948025666,False
Plain burfi (Burfi),408.32,30.88,9.82,27.96,30.43,0.17,38.12,355.78,28.588272470068773,55.80402782712089,False
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,31.5,3.5,29.26,272.81,30.10885098825347,58.560491171878795,False
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,23.92,0.73,26.43,215.85,21.25315930554132,43.981921371133815,False
Chocolate burfi,339.33,33.15,13.0,17.86,32.38,0.0,3.78,466.48,35.84524853136668,49.224616387726435,False
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,31.43,1.12,38.62,12.95,14.34726884814025,58.4735819092208,False
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,28.44,3.41,40.13,160.71,30.3793326984446,50.332985708470574,False
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,33.28,4.68,27.87,106.42,24.54788510708442,55.073963343393594,False
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03,27.32,6.69,33.81,26.72,24.695709299901836,52.01553819067399,False
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,37.76,4.43,52.34,25.35,24.08956581472478,61.28625669682012,False
Sesame ladoo (Til ke ladoo),396.96,43.5,10.7,19.64,38.63,7.72,0.0,631.82,49.718859794374396,53.569307168676076,False
Chenna murki,252.69,36.01,10.46,8.2,35.55,0.0,0.0,266.85,26.614003846209528,47.61978019197571,False
Milk cake,127.41,9.13,3.01,8.93,8.9,0.06,11.56,104.94,15.074798790116635,24.590105820566322,False
Ghujia/Lavang latika,768.98,13.0,1.86,78.93,6.08,0.52,4.62,31.01,10.693957044800383,60.25555162500242,False
Gulab Jamun with khoya,586.06,26.09,2.03,53.23,24.12,0.07,0.0,67.32,9.953893087101873,63.54661708923213,False
Mal pua,566.68,17.56,1.71,54.64,11.77,0.62,0.0,30.05,10.654973282927475,52.25514606346049,False
Shahi tukre,189.81,41.46,2.76,2.54,34.7,0.51,0.0,76.47,12.041998517484114,46.32558633514764,False
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.9,71.84,0.22,1.03,0.0,6.59,11.716127111883097,49.88985397034003,False
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.9,71.84,0.88,1.11,0.0,7.95,11.820283272896765,50.38949731246507,False
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,0.23,1.26,0.0,8.44,12.25898302401201,49.63248740672769,False
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,0.38,1.13,0.0,9.55,12.00577654258054,49.89918625599681,False
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,0.2,1.02,0.0,10.99,11.796383524927544,52.206225152505525,False
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,0.25,1.18,0.0,23.07,12.53913315123,52.14797253539389,False
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,0.19,0.86,28.39,9.55,12.561491156033842,53.47416916600865,False
Bread pakora/pakoda,710.99,8.87,2.57,74.2,0.46,1.11,0.0,19.83,13.0200277851798,51.36662762322291,False
Paneer pakora/pakoda,718.12,5.52,3.27,76.05,1.08,0.89,0.0,43.38,14.154456912630067,52.55416413691461,False
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.8,0.27,0.83,0.0,6.79,10.42999154805306,47.97932151088037,False
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,0.29,1.19,2.33,7.63,12.061653412874392,43.51192273166001,False
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,0.5,0.39,16.71,6.7,14.087965552502897,46.6321065330716,False
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,1.69,1.02,0.0,64.56,16.212632163901656,46.36740713729822,False
Mathri,805.12,12.32,1.75,83.1,0.29,0.6,0.0,5.23,10.452411279633711,56.966974139679024,False
Khasta kachori,712.73,12.81,2.51,72.27,0.34,0.97,0.0,7.84,12.408372349326434,50.72931240510367,False
Vegetable cutlet,665.45,4.68,1.25,71.33,0.35,0.93,6.77,13.55,10.88386805681191,50.3027549302811,False
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,0.27,0.86,6.9,9.17,11.243393590888713,51.76165718585826,False
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74.0,0.51,1.21,6.75,14.38,13.093275823028135,51.41542285689728,False
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,0.29,0.54,11.02,10.44,12.167946602500969,49.439998390833054,False
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.4,1.02,0.41,13.33,45.36,12.454072779353515,51.28512442454465,False
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.6,0.16,0.93,6.98,11.3,11.02783120024255,51.35338666461644,False
Cheese toast,785.37,5.49,1.98,84.11,0.53,0.31,11.55,43.87,11.334708700864459,57.8630854404084,False
Vegetable burger,519.93,13.69,3.26,50.63,1.88,1.7,7.4,26.08,15.502763478801754,40.16116261184531,False
Cheese pizza,249.5,30.62,5.79,12.43,3.42,1.95,10.64,96.51,22.045453042208088,21.435945341156184,False
Vegetable seekh kebab,690.73,5.32,1.57,73.72,0.74,0.59,0.0,32.66,11.211829344892461,51.66537890669997,False
Masala vada,826.02,4.06,1.69,89.15,0.24,1.07,0.0,7.45,11.09179958881567,59.253623959379425,False
Peanut sago vada (Sabudana mungfali vada),749.89,7.14,1.01,79.82,0.19,0.62,0.0,5.03,9.620268424555661,54.79785731150844,False
Vegeterian scotch egg,681.67,4.64,2.16,72.77,0.23,0.58,34.24,15.2,11.440198429544441,52.577933485711306,False
Paneer shaslik/tikka,93.85,7.98,5.11,4.49,4.61,1.23,0.0,123.86,20.922105813628352,16.269949788780377,False
Peanut brittle (Moongfali ki chikki),320.46,47.46,6.94,11.13,43.92,2.63,2.5,68.03,19.560587592291746,57.966192135794074,False
Spring roll,623.87,8.56,1.81,64.63,0.6,0.67,12.15,9.51,11.186532718191174,47.538910057792435,False
Dry mango chutney (Sookhe aam ki chutney),298.13,69.17,2.43,0.7,61.86,3.74,0.0,72.05,13.917516621253256,71.23104054482718,False
Peanut chutney (Mungfali ki chutney),258.37,9.87,11.8,19.06,2.76,5.73,0.0,34.79,34.376496136674106,18.32492438255714,False
Coconut chutney (Nariyal ki chutney),265.92,8.29,3.59,25.0,3.79,6.73,0.0,15.7,24.46631621737132,24.253106303575382,False
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,21.18,2.81,0.51,15.88,4.33,0.0,107.45,21.44016722483499,24.664508952521242,False
Custard tart,225.6,28.66,3.72,10.73,9.31,0.91,22.28,57.47,15.855611616417319,27.73598255406082,False
Lemon tart,303.35,30.68,6.12,17.45,10.68,0.81,123.17,24.03,17.244100985880024,38.40961656368974,False
Jam tart,360.72,46.18,4.42,17.35,14.74,1.14,44.15,12.23,14.976757366543815,38.927261765016965,False
Orange cream tart,197.16,27.43,2.58,8.72,10.08,0.64,22.13,13.84,12.61666995530417,27.690150436685677,False
Pineapple tart,195.4,28.62,2.29,8.21,11.09,0.87,20.7,12.02,12.472358475895026,28.301403339800313,False
Cheese and mushroom tart,246.1,21.43,5.51,15.28,3.16,1.18,37.99,100.97,20.42588572923517,24.310585396307417,False
Cottage cheese pie,238.98,20.66,7.45,13.83,3.62,2.21,20.86,108.05,24.92256889524249,21.701810969240935,False
Minced meat pie,221.55,18.11,7.38,13.04,1.42,2.33,34.57,18.14,22.630343012507325,19.868525125201934,False
Apple cinnamon pie,258.73,33.68,3.35,12.21,11.95,1.77,36.52,16.14,15.218482926793389,31.980605523084797,False
Lemon meringue pie,224.43,35.11,3.88,8.16,21.17,0.44,75.3,16.79,12.73963242744055,41.05482427181575,False
Chocolate meringue pie,214.76,28.8,4.98,9.17,15.03,0.37,64.11,55.98,15.880971808021206,34.51738324560206,False
Cream puffs,221.33,16.0,4.7,15.48,5.94,0.38,100.48,37.93,15.734872143353256,30.970141971877425,False
Chocolate eclairs,239.42,26.22,4.24,13.5,17.34,0.33,85.94,34.21,13.799100801374804,40.32891077723434,False
Cheese balls,681.28,4.81,2.21,72.57,0.63,0.18,37.78,30.01,11.22546710772937,53.26626798472516,False
Minced meat patties,265.72,15.25,6.88,19.57,0.88,0.77,81.36,19.23,19.182227698864097,26.520867896298213,False
Cheese patties,324.01,22.23,7.38,22.67,3.93,1.24,0.0,126.41,23.555118123253784,26.143383180976965,False
Hot cheese souffle,177.1,5.41,9.18,13.23,2.91,0.12,149.14,169.17,25.265544069862663,27.829832786182422,False
Hot potato souffle,125.64,8.56,5.51,7.64,1.78,0.66,109.09,56.84,18.447956278130363,22.43271336104154,False
Hot fish souffle,142.92,3.69,11.23,9.24,1.68,0.1,122.69,58.18,24.99918547588666,22.116889321822228,False
Hot spinach souffle,104.25,4.19,5.43,7.24,1.64,0.99,100.84,80.77,19.64902872399174,21.039041790444756,False
Plain cream cake,353.94,47.18,6.18,16.17,27.74,0.71,120.92,41.95,15.86700316051019,54.44981373741629,False
Apple cake (Seb ka cake),290.08,39.48,4.94,12.87,23.52,1.22,94.69,38.99,15.629940071958817,46.66337367181069,False
Marble cake,354.11,46.88,6.3,16.27,27.56,0.71,120.14,39.6,15.97544691594862,54.22807990629239,False
Chocolate cake,335.61,45.14,6.01,15.18,27.58,0.64,109.36,41.13,15.586336061206355,52.93631717266681,False
Orange cake,357.61,48.28,6.1,16.21,28.38,0.83,123.67,29.72,15.525373188710528,55.26864354439854,False
Fruit Loaf ,324.19,46.49,5.36,13.31,24.54,0.87,90.0,45.71,15.670198411710802,48.220210724239976,False
Banana cake (Kele ka cake),389.51,40.0,5.77,23.31,23.04,1.14,68.99,23.55,15.992593667296454,50.14796295579857,False
Chocolate chiffon cake,311.71,37.87,5.76,15.8,24.25,0.7,93.35,42.15,15.791616888390227,48.66687601676203,False
Christmas cake,372.95,48.29,5.49,16.88,27.45,1.49,97.81,40.98,16.2971875284512,53.29760747239111,False
Strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39,32.43,0.79,101.12,28.17,12.05812264533924,60.16360273943846,False
Eggless cake,318.08,46.14,8.12,11.75,27.7,0.68,27.68,212.97,23.735259563633697,45.51315197245977,False
Swiss roll,251.87,48.34,7.3,3.77,32.96,0.55,144.66,24.11,16.240798150457298,53.745344313776535,False
Pineapple pastry ,208.21,29.04,6.06,7.87,18.83,0.72,115.34,42.97,16.978238044887878,39.95236035007709,False
Black forest pastry,233.55,34.48,6.09,8.46,21.35,0.54,113.03,44.15,16.4640761565617,42.94188183675868,False
Coconut finger,274.86,42.56,7.09,8.86,28.55,1.87,127.97,24.04,18.553897572238853,50.38737725363158,False
Pineapple cake ,195.57,23.51,5.01,9.34,16.16,0.76,92.79,49.06,16.172203666327015,36.74844393007595,False
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,47.1,6.56,23.62,22.58,1.54,69.03,36.1,18.077224721467655,50.11243865798767,False
Chocolate chip cookies,425.29,57.98,5.79,19.38,30.29,1.05,75.98,24.76,15.166800863336027,56.64442017878037,False
Sweet plain biscuit,380.76,50.29,5.86,17.67,21.77,1.07,76.89,42.88,16.784342711245717,47.356745731552884,False
Chocolate biscuit,379.76,51.56,5.88,17.09,24.16,1.01,72.66,41.51,16.442111670826346,49.05934110588563,False
Coconut biscuit (Nariyal ke biscuit),434.98,42.9,5.78,27.16,20.76,3.64,64.98,37.81,20.71452543676179,48.90380974419513,False
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,45.09,6.15,22.39,7.22,1.68,55.18,37.24,19.507909276642977,34.624068847492026,False
Peanut biscuit,401.05,46.72,8.45,20.41,21.26,2.48,61.88,50.58,22.779694263376406,45.601560903083566,False
Pin wheel biscuit,404.6,54.56,5.4,18.66,23.25,1.16,44.65,42.7,16.22563029627927,47.70055460464093,False
Saffron biscuit (Kesar biscuit),458.61,59.7,6.05,22.01,22.42,1.9,49.64,25.71,17.782545991712425,48.986127557597456,False
Masala biscuit,393.64,45.18,6.06,20.75,6.82,2.14,51.29,53.73,20.728429267953395,32.93785647613555,False
Ice box cookies,374.24,56.09,5.7,14.44,26.69,1.28,70.82,18.5,15.775143054773537,50.13892188954385,False
Ginger bread man,365.0,60.26,6.61,11.01,29.12,1.6,75.31,37.92,17.86886946639315,50.70900493871981,False
Danish cookies,475.33,58.0,5.33,24.92,21.73,1.37,63.58,15.97,15.63877356479895,51.1616568632681,False
Short bread cookies,443.09,64.82,6.03,17.98,23.31,1.57,45.48,15.92,16.93009087696893,47.97651447506199,False
Coffee biscuit,416.57,46.55,6.9,23.0,21.69,1.59,63.97,48.92,19.107073558078188,48.43121777773332,False
Melting moments,437.91,55.84,5.71,21.78,25.0,1.88,80.33,30.39,17.09510214014503,52.84123390326441,False
Ginger biscuit (Adarak ke biscuit),417.91,58.44,5.98,18.31,27.06,1.49,81.73,25.97,16.532634754534744,53.244385527123455,False
Soyabean muthias,839.33,3.7,2.46,90.45,0.17,1.47,0.0,12.16,12.876796888946558,59.42374602000969,False
Soyabean tikki,698.17,4.39,3.53,74.02,0.35,2.2,0.0,29.23,16.38657482604504,49.98057019856449,False
Soyabean namak paras,838.46,4.65,2.65,89.83,0.22,1.41,0.0,12.13,13.03323347426369,59.19086740112229,False
Peanut burfi (Moongfali ki burfi),550.99,48.14,9.31,36.84,43.08,4.09,0.0,25.2,23.2861427846266,69.3577354124589,False
Spinach peanut namak paras (Palak moongfali namak paras),740.16,6.62,1.65,78.51,0.28,0.81,0.0,13.35,11.040919121518563,53.858495225853105,False
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,7.63,2.08,80.04,0.25,1.39,0.0,12.13,12.492596511338128,54.31063301303875,False
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44,0.15,1.18,0.0,4.99,12.739948336984593,55.76888594417939,False
Split bengal gram sweet rice (Channa dal sweet rice),190.21,41.07,4.15,0.64,19.41,2.23,0.0,30.37,17.033625103746893,30.39930768499493,False
